CryptoID,Date,Open,High,Low,Close,Adj Close,Volume
DOGE-GBP,2018-05-23,0.002871,0.003189,0.002578,0.002686,0.002686,11144513
DOGE-GBP,2018-05-24,0.002685,0.002777,0.002424,0.002615,0.002615,7816619
DOGE-GBP,2018-05-25,0.002596,0.002708,0.002531,0.002641,0.002641,7975953
DOGE-GBP,2018-05-26,0.002668,0.002682,0.002599,0.002602,0.002602,4774675
DOGE-GBP,2018-05-27,0.002603,0.002615,0.002556,0.002573,0.002573,2626340
DOGE-GBP,2018-05-28,0.00258,0.002588,0.002418,0.002423,0.002423,5636541
DOGE-GBP,2018-05-29,0.002424,0.0026,0.002398,0.002593,0.002593,6975966
DOGE-GBP,2018-05-30,0.002601,0.002645,0.002501,0.002525,0.002525,5619568
DOGE-GBP,2018-05-31,0.002582,0.002636,0.002494,0.002557,0.002557,6751772
DOGE-GBP,2018-06-01,0.002579,0.002611,0.002507,0.002563,0.002563,4071275
DOGE-GBP,2018-06-02,0.00256,0.002684,0.002546,0.002664,0.002664,4431998
DOGE-GBP,2018-06-03,0.002678,0.002809,0.002654,0.002764,0.002764,14657130
DOGE-GBP,2018-06-04,0.002764,0.002813,0.002631,0.002653,0.002653,16645786
DOGE-GBP,2018-06-05,0.002657,0.002782,0.002642,0.002726,0.002726,14040361
DOGE-GBP,2018-06-06,0.002727,0.002831,0.002665,0.002822,0.002822,15853417
DOGE-GBP,2018-06-07,0.002793,0.002854,0.002761,0.002782,0.002782,4555140
DOGE-GBP,2018-06-08,0.002792,0.002821,0.002719,0.002728,0.002728,5160024
DOGE-GBP,2018-06-09,0.002727,0.002767,0.002679,0.002679,0.002679,3483866
DOGE-GBP,2018-06-10,0.00268,0.00268,0.002351,0.002373,0.002373,5546921
DOGE-GBP,2018-06-11,0.002371,0.002428,0.002314,0.002419,0.002419,3621421
DOGE-GBP,2018-06-12,0.002421,0.002444,0.0023,0.00231,0.00231,3712929
DOGE-GBP,2018-06-13,0.002312,0.002331,0.002078,0.002105,0.002105,8277823
DOGE-GBP,2018-06-14,0.002104,0.002274,0.002102,0.002221,0.002221,7446718
DOGE-GBP,2018-06-15,0.002228,0.002245,0.002136,0.002184,0.002184,9128661
DOGE-GBP,2018-06-16,0.002177,0.002225,0.00213,0.002179,0.002179,5000685
DOGE-GBP,2018-06-17,0.002188,0.002219,0.002164,0.002164,0.002164,4710840
DOGE-GBP,2018-06-18,0.002196,0.002327,0.002136,0.002284,0.002284,6142344
