Date,Open,High,Low,Close,Adj Close,Volume
2018-08-19,0.078212,0.081830,0.076939,0.080374,0.080374,40099568
2018-08-20,0.080222,0.081413,0.073150,0.073230,0.073230,42127148
2018-08-21,0.072760,0.074888,0.071650,0.073618,0.073618,38392174
2018-08-22,0.073627,0.077607,0.068227,0.069867,0.069867,50039526
2018-08-23,0.069910,0.072904,0.069298,0.072184,0.072184,29198470
2018-08-24,0.072490,0.073480,0.070997,0.073258,0.073258,27489799
2018-08-25,0.073435,0.073981,0.071913,0.073417,0.073417,23886233
2018-08-26,0.073401,0.073684,0.071177,0.072602,0.072602,20929838
2018-08-27,0.072478,0.078184,0.071974,0.077748,0.077748,43048697
2018-08-28,0.077982,0.082890,0.077562,0.081971,0.081971,61438841
2018-08-29,0.082073,0.084627,0.079436,0.080912,0.080912,64121442
2018-08-30,0.080710,0.082254,0.074743,0.077288,0.077288,49809776
2018-08-31,0.077551,0.079269,0.076550,0.078849,0.078849,32598102
2018-09-01,0.078603,0.084022,0.078603,0.082422,0.082422,54169354
2018-09-02,0.082481,0.082696,0.079092,0.080836,0.080836,45198467
2018-09-03,0.081005,0.081394,0.079302,0.080528,0.080528,41727965
2018-09-04,0.080432,0.082848,0.080386,0.081874,0.081874,42247336
2018-09-05,0.081875,0.082550,0.067810,0.067810,0.067810,76435574
2018-09-06,0.067775,0.069180,0.064327,0.068606,0.068606,56669143
2018-09-07,0.068494,0.069358,0.064410,0.064982,0.064982,32395621
2018-09-08,0.065089,0.065870,0.059970,0.060534,0.060534,27242881
2018-09-09,0.060696,0.062788,0.058051,0.059289,0.059289,37031098
2018-09-10,0.059780,0.060456,0.055409,0.056432,0.056432,34302165
2018-09-11,0.056947,0.057363,0.051618,0.054182,0.054182,36587137
2018-09-12,0.054398,0.054394,0.047522,0.051169,0.051169,69972708
2018-09-13,0.051405,0.054125,0.050443,0.053268,0.053268,65612709
2018-09-14,0.053470,0.053881,0.050383,0.052229,0.052229,47644295
2018-09-15,0.051984,0.053849,0.051885,0.053051,0.053051,26664345
2018-09-16,0.052922,0.053551,0.050984,0.053525,0.053525,24974065
2018-09-17,0.053442,0.053756,0.048198,0.048618,0.048618,36985163
2018-09-18,0.048367,0.053387,0.047571,0.052739,0.052739,51013293
2018-09-19,0.052522,0.056554,0.051288,0.055065,0.055065,73119187
2018-09-20,0.055133,0.062290,0.054412,0.061404,0.061404,78202806
2018-09-21,0.061618,0.068689,0.061219,0.067018,0.067018,162388553
2018-09-22,0.067060,0.067618,0.061435,0.063637,0.063637,63127640
2018-09-23,0.063863,0.071311,0.063408,0.068631,0.068631,114695945
2018-09-24,0.068594,0.069864,0.062763,0.063100,0.063100,68261136
2018-09-25,0.062757,0.062747,0.057265,0.061480,0.061480,66417946
2018-09-26,0.061453,0.062899,0.058565,0.060328,0.060328,48824959
2018-09-27,0.060321,0.067005,0.059818,0.065776,0.065776,77944078
2018-09-28,0.066083,0.067596,0.062908,0.064486,0.064486,68385775
2018-09-29,0.064241,0.066281,0.062712,0.064927,0.064927,42862358
2018-09-30,0.064744,0.066614,0.063968,0.065353,0.065353,38242312
2018-10-01,0.065428,0.065796,0.063218,0.064763,0.064763,32259976
2018-10-02,0.064866,0.064944,0.063473,0.063572,0.063572,26788693
2018-10-03,0.063192,0.063515,0.060932,0.062424,0.062424,29411021
2018-10-04,0.062446,0.064044,0.062251,0.062433,0.062433,24315314
2018-10-05,0.062492,0.063346,0.061978,0.063270,0.063270,23756136
2018-10-06,0.063512,0.063808,0.061740,0.061983,0.061983,20033254
2018-10-07,0.062098,0.064882,0.061531,0.064492,0.064492,26547128
2018-10-08,0.064395,0.067531,0.063704,0.066143,0.066143,47410902
2018-10-09,0.066269,0.066869,0.064642,0.065635,0.065635,29421648
2018-10-10,0.065627,0.065723,0.063429,0.064127,0.064127,27178133
2018-10-11,0.064011,0.064031,0.052921,0.053612,0.053612,54912642
2018-10-12,0.053159,0.057252,0.052774,0.055651,0.055651,31148547
2018-10-13,0.055212,0.056924,0.055086,0.055566,0.055566,17917237
2018-10-14,0.055536,0.056077,0.053953,0.054405,0.054405,20032227
2018-10-15,0.053751,0.059949,0.053229,0.056850,0.056850,54693923
2018-10-16,0.056849,0.058111,0.056546,0.057498,0.057498,20140316
2018-10-17,0.057533,0.059648,0.057207,0.059080,0.059080,28168809
2018-10-18,0.059177,0.059497,0.057013,0.057693,0.057693,21988213
2018-10-19,0.057609,0.058525,0.057119,0.058014,0.058014,13887567
2018-10-20,0.057978,0.059030,0.057529,0.058401,0.058401,15578282
2018-10-21,0.058373,0.059328,0.057861,0.058074,0.058074,13486571
2018-10-22,0.057982,0.058923,0.057560,0.058440,0.058440,13011877
2018-10-23,0.058508,0.058663,0.056276,0.057570,0.057570,15952029
2018-10-24,0.057469,0.058297,0.057481,0.057690,0.057690,10984826
2018-10-25,0.057666,0.057694,0.056785,0.057598,0.057598,9800345
2018-10-26,0.057511,0.057686,0.056726,0.057435,0.057435,10491503
2018-10-27,0.057416,0.057497,0.056793,0.056807,0.056807,8040290
2018-10-28,0.056919,0.057124,0.056387,0.057023,0.057023,8749218
2018-10-29,0.056926,0.057101,0.053848,0.054388,0.054388,16650566
2018-10-30,0.054392,0.054673,0.054492,0.054813,0.054813,8986664
2018-10-31,0.054873,0.054716,0.053187,0.054591,0.054591,12817524
2018-11-01,0.054586,0.055648,0.053784,0.054502,0.054502,8657057
2018-11-02,0.054461,0.056324,0.054459,0.055954,0.055954,14510770
2018-11-03,0.055936,0.055982,0.054596,0.055102,0.055102,11523957
2018-11-04,0.055112,0.059549,0.054957,0.058605,0.058605,40688124
2018-11-05,0.058399,0.060594,0.057510,0.058297,0.058297,26303565
2018-11-06,0.058442,0.061758,0.058442,0.061758,0.061758,37742809
2018-11-07,0.061810,0.062021,0.059312,0.059831,0.059831,28072696
2018-11-08,0.059714,0.060616,0.058079,0.058546,0.058546,24606404
2018-11-09,0.058416,0.059381,0.056979,0.057224,0.057224,18315328
2018-11-10,0.057179,0.058586,0.057094,0.057973,0.057973,11569826
2018-11-11,0.057929,0.059631,0.057370,0.059116,0.059116,18290750
2018-11-12,0.059376,0.059647,0.058288,0.059118,0.059118,16315502
2018-11-13,0.059026,0.059088,0.056201,0.056549,0.056549,15618941
2018-11-14,0.056423,0.056424,0.047399,0.049915,0.049915,42323082
2018-11-15,0.049933,0.050229,0.045546,0.049776,0.049776,47210541
2018-11-16,0.049540,0.050159,0.046918,0.047626,0.047626,21452363
2018-11-17,0.047556,0.047556,0.046382,0.047255,0.047255,13961361
2018-11-18,0.047354,0.049007,0.047354,0.048247,0.048247,12989480
2018-11-19,0.048237,0.048237,0.040457,0.040893,0.040893,41791694
2018-11-20,0.040952,0.041007,0.033322,0.035019,0.035019,51270136
2018-11-21,0.035310,0.037722,0.033654,0.037407,0.037407,26570297
2018-11-22,0.037489,0.037977,0.034369,0.034369,0.034369,14514782
2018-11-23,0.034219,0.034691,0.032357,0.033863,0.033863,18922358
2018-11-24,0.033869,0.034556,0.028807,0.029996,0.029996,20076740
2018-11-25,0.030129,0.030277,0.025582,0.029438,0.029438,31762634
2018-11-26,0.029466,0.030723,0.026599,0.027946,0.027946,24694992
2018-11-27,0.027849,0.029030,0.026663,0.028626,0.028626,14105594
2018-11-28,0.028664,0.034381,0.028664,0.032762,0.032762,37131727
2018-11-29,0.032956,0.034895,0.030951,0.032756,0.032756,30939836
2018-11-30,0.032849,0.033105,0.029559,0.030510,0.030510,22627669
